product_id,name,barcode
65,RAL COL.SENSAT.NU 140 Intense pink,3.60E+12
65,RAL COL.SENSAT.NU 148 SUMMER PINK,3.60E+12
65,RAL COL.SENSAT.NU 162 Feel Pink,3.60E+12
65,RAL COL.SENSAT.NU 175 PINK PUNCH,3.60E+12
65,RAL COL.SENSAT.NU 180 Crasy Pink,3.60E+12
65,RAL COL.SENSAT.NU 315 RICH PLUM,3.60E+12
65,RAL COL.SENSAT.NU 422 Coral Tonic,3.60E+12
65,RAL COL.SENSAT.NU 530 FATAL RED,3.60E+12
65,RAL COL.SENSAT.NU 540 HOLLYWOOD RED,3.60E+12
65,RAL COL.SENSAT.NU 642 LATTE BEIGE,3.60E+12
65,RAL COL.SENSAT.NU 715 Choco Cream,3.60E+12
65,RAL COL.SENSAT.NU 750 CHOCO POP,3.60E+12
65,RAL COLOR SENSAT.BLg 132 Sweet pink,3.60E+12
66,CS BOLD MATTE ZAMO 1 MAT1/ravishing rose,6.90E+12
66,CS BOLD MATTE ZAMO 2 MAT2/lust for blush,6.90E+12
66,CS BOLD MATTE ZAMO 3 MAT3/craving coral,6.90E+12
66,CS BOLD MATTE ZAMO 5 MAT5/faint for fuschia,6.90E+12
66,CS BOLD MATTE ZAMO 6 MAT6/divine wine,6.90E+12
66,CS BOLD MATTE ZAMO 7 MAT7/nude embrace,6.90E+12
67,CS VIVIDS RAL NU 902 FUCHSIA FLASH,3.60E+12
67,CS VIVIDS RAL NU 904 VIVID ROSE,3.60E+12
67,CS VIVIDS RAL NU 910 SHOCKING CORAL,3.60E+12
67,CS VIVIDS RAL NU 912 ELECTRIC ORANG,3.60E+12
68,RAL CS STICK RENO NU 168 PETAL PINK,3.60E+12
68,RAL CS STICK RENO NU 158 Power Peony,3.60E+12
68,RAL CS STICK RENO NU 538 RAVISHING,3.60E+12
68,RAL CS STICK RENO NU 418 PEACH POPP,3.60E+12
69,Color Show LIP 108 Party Pink,6.90E+12
69,Color Show LIP 105 Pinkalicious,6.90E+12
69,Color Show LIP 202 Red My Lips,6.90E+12
69,Color Show LIP 203 Cherry On Top,6.90E+12
69,Color Show LIP 307 Disco Coral,6.90E+12
69,Color Show LIP 201 Downtown Red,6.90E+12
69,Color Show LIP 401 Mauve Mania,6.90E+12
69,Color Show LIP 101 Pink Avenue,6.90E+12
69,Color Show LIP 204 Red Diva,6.90E+12
69,Color Show LIP 104 Pink Release,6.90E+12
70,C.DRAMA LIP KHOL NU 130 LOVE MY PIN,3.60E+12
70,C.DRAMA LIP KHOL NU 150 FUCHSIA DES,3.60E+12
70,C.DRAMA LIP KHOL NU 310 BERRY MUCH,3.60E+12
70,C.DRAMA LIP KHOL NU 210 KEEP IT CLA,3.60E+12
70,C.DRAMA LIP KHOL NU 420 IN WITH COR,3.60E+12
70,C.DRAMA LIP KHOL NU 510 RED ESSENTI,3.60E+12
70,CS.LIP KHOL NU 110 PINK SO CHIC,3.60E+12
70,MAYB LIP CS Color Dramal 140 Minimalist,3.60E+12
70,MAYB LIP CS Color Drama 410 Fab Orange,3.60E+12
70,MAYB LIP CS ColDrama 630 Nude Perfection,3.60E+12
70,MAYB LIP CS ColorDrama 520 Light It Up,3.60E+12
71,BABY LIPS BLS gb CHERRY ME,3.60E+12
71,BABY LIPS BLS gb HYDRATE,3.60E+12
71,BABY LIPS BLS gb PINK PUNCH,3.60E+12
